"","ST_CASE","OBJECT_ID","FID","LATITUDE","LONGITUD","PERMVIT","PERSONS","MONTH","DAY_WEEK","HOUR","ROUTE","SP_JUR","HARM_EV","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","STATE_NAME","drunkDr"
"6697",120921,12,31754,25.73431389,-80.27326944,1,1,3,5,3,9,0,9,0,1,1,0,1,3,1,1,12,3,3,2,1,1,2,2,2,2,2,3,2,2,2,1,2,2,"Florida",0
"6698",120922,12,30505,27.89139167,-81.83125,2,2,4,7,7,9,0,33,0,1,1,0,4,1,1,1,12,3,3,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,"Florida",1
"6699",120923,12,31051,26.6522,-80.12911944,2,2,4,5,19,3,0,33,0,3,3,0,4,1,1,2,12,2,2,2,1,1,2,1,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6700",120924,12,31667,25.82417222,-80.23278889,2,2,4,3,20,3,0,12,0,2,2,0,1,3,1,1,12,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6701",120925,12,27912,30.28333056,-81.61666389,1,1,5,6,20,9,0,8,0,2,2,0,1,3,1,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6702",120926,12,28212,30.15446944,-81.74811111,1,1,5,6,14,9,0,1,1,2,2,0,1,1,1,1,12,3,3,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6703",120929,12,29645,28.98275,-81.89611944,1,1,5,5,0,9,0,52,0,1,1,0,4,2,1,1,12,3,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6704",120930,12,29781,28.75999722,-81.26946944,3,3,5,7,22,3,0,12,1,2,2,0,1,3,1,1,12,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,"Florida",0
"6705",120931,12,30330,28.01977222,-82.57564722,1,1,5,7,23,9,0,8,0,2,3,0,1,3,1,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6706",120932,12,27976,30.25788056,-82.13116111,1,1,5,1,2,9,0,8,0,1,1,0,1,2,1,1,12,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,"Florida",0
"6707",120933,12,27290,30.60978333,-85.38562778,1,1,5,1,13,6,0,1,0,2,3,0,1,1,1,1,12,2,2,1,2,1,1,1,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6708",120934,12,27905,30.28661667,-81.54240556,2,2,5,3,13,9,0,12,0,1,1,0,1,1,1,1,12,3,3,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6709",120935,12,27574,30.44126111,-86.59683889,2,2,5,5,7,3,0,1,0,2,3,0,1,1,1,1,12,2,2,1,1,2,1,2,2,2,2,3,2,1,2,2,2,2,"Florida",2
"6710",120937,12,29281,29.46821111,-81.27495,2,2,5,7,15,3,0,12,0,8,1,0,1,1,1,1,12,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,"Florida",1
"6711",120938,12,28399,30.02526111,-82.3225,6,6,5,2,11,9,0,12,0,1,1,1,1,1,10,1,12,3,3,1,1,3,2,2,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6712",120939,12,28326,30.07985,-81.70686111,3,3,5,3,12,2,0,12,1,2,2,0,1,1,10,2,12,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,"Florida",0
"6713",120940,12,31500,26.02042222,-80.28688611,1,1,5,3,8,6,0,8,0,3,2,0,1,1,1,1,12,2,2,1,1,1,2,2,1,2,2,3,2,2,2,2,1,2,"Florida",0
"6714",120941,12,27987,30.25370556,-81.50942222,1,1,5,5,22,9,0,42,1,5,1,0,4,3,10,1,12,3,3,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,"Florida",0
"6715",120942,12,27082,30.78196944,-84.98333889,2,2,5,5,19,6,0,1,0,1,1,0,1,5,1,1,12,2,2,2,1,1,2,2,2,1,2,3,1,2,2,2,2,2,"Florida",0
"6716",120943,12,30115,28.30448889,-81.411875,2,2,5,7,14,9,0,12,0,2,2,0,1,1,1,1,12,3,3,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6717",120944,12,30145,28.26051944,-81.43644444,2,2,5,7,1,2,0,12,0,3,2,0,1,2,1,1,12,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,"Florida",1
"6718",120945,12,27246,30.63975833,-84.97692778,7,7,5,2,12,1,0,12,0,1,1,0,1,1,10,2,12,1,1,1,1,3,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6719",120946,12,27592,30.43649444,-87.22910278,4,4,5,2,3,9,0,1,0,3,2,4,1,2,1,1,12,3,3,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6720",120947,12,27926,30.27728889,-81.6031,1,1,5,3,15,9,0,8,0,3,2,0,1,1,1,1,12,3,3,1,1,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6721",120948,12,30266,28.06126389,-82.35333889,2,2,5,4,23,1,0,8,0,1,1,0,1,2,1,1,12,2,1,2,1,2,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6722",120949,12,30760,27.41993889,-80.40803333,6,6,5,5,8,3,0,12,0,1,1,0,1,1,10,1,12,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,"Florida",0
"6723",120950,12,29244,29.49658889,-82.17166111,1,1,5,5,17,4,0,42,0,1,1,0,4,1,1,1,12,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,"Florida",0
"6724",120951,12,31161,26.47011389,-80.64274444,1,1,5,6,19,2,0,38,0,1,1,0,4,1,1,1,12,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,"Florida",0
"6725",120952,12,30865,27.14286944,-80.29196944,5,5,5,5,12,3,0,1,0,1,1,0,1,1,1,1,12,2,2,1,1,1,2,2,2,1,2,3,2,2,2,2,2,2,"Florida",0
"6726",120953,12,30198,28.15521944,-82.49298333,3,3,5,1,9,9,0,12,0,2,2,0,1,1,1,1,12,3,3,1,2,3,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6727",120954,12,30287,28.048025,-82.60659167,3,3,6,2,2,9,0,33,0,1,1,0,3,3,1,1,12,3,3,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,"Florida",1
"6728",120955,12,31228,26.31874722,-80.10482222,7,7,5,5,15,3,0,12,0,2,2,0,1,1,10,1,12,2,2,1,1,2,2,2,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6729",120956,12,31004,26.69150556,-80.09290556,4,4,2,7,23,9,0,8,0,1,1,0,1,2,1,1,12,3,3,2,2,3,2,2,1,2,2,3,2,2,1,2,2,2,"Florida",0
"6730",120957,12,27696,30.38701944,-86.447475,1,1,3,1,20,2,0,8,0,2,2,0,1,3,1,1,12,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6731",120958,12,30547,27.84644722,-82.72861667,6,6,3,6,12,9,0,12,0,3,2,0,1,1,1,1,12,3,3,1,1,3,2,2,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6732",120959,12,30320,28.02531111,-82.47859722,2,2,5,7,0,9,0,8,0,3,2,0,1,2,1,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6733",120960,12,30895,27.04281944,-82.29746111,1,1,5,7,19,9,0,30,0,1,1,0,4,5,1,1,12,3,3,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6734",120961,12,30757,27.42710278,-81.40373056,1,1,5,3,12,2,0,9,0,1,1,0,1,1,1,1,12,2,2,1,1,1,2,2,2,2,2,3,2,1,2,2,1,2,"Florida",0
"6735",120962,12,27478,30.48396111,-81.78489722,2,2,5,4,22,9,0,12,0,2,2,0,1,3,10,1,12,3,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,"Florida",2
"6736",120963,12,31026,26.67465,-81.88308889,3,3,5,3,8,2,0,12,0,2,2,0,1,1,1,1,12,2,2,1,1,3,2,1,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6737",120964,12,30886,27.08461944,-80.26306389,2,2,5,4,4,9,0,12,0,1,1,0,1,2,1,1,12,3,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6738",120965,12,31139,26.52463056,-81.588,6,6,5,6,23,3,0,12,0,1,1,0,1,2,1,1,12,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6739",120966,12,29709,28.86215278,-81.68473333,1,1,5,7,2,3,0,24,0,1,1,0,4,3,1,1,12,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6740",120967,12,30607,27.76650278,-82.67936944,3,3,5,1,3,2,0,12,0,2,2,0,1,3,1,1,12,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,"Florida",1
"6741",120968,12,29821,28.678925,-82.13655833,2,2,5,2,18,9,0,25,0,1,1,0,3,1,1,1,12,3,3,2,1,1,2,2,2,1,2,3,2,2,1,2,2,2,"Florida",1
"6742",120970,12,30888,27.07260556,-81.408725,2,2,5,4,18,4,0,1,0,1,1,0,2,1,1,1,12,3,3,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,"Florida",1
"6743",120971,12,30912,26.97593889,-80.17983889,2,2,5,5,2,1,0,12,0,1,1,0,1,2,1,1,12,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,"Florida",1
"6744",120972,12,31511,26.00765,-80.33998889,5,5,5,5,23,1,0,12,0,8,1,4,1,2,1,2,12,2,1,2,1,3,2,2,2,2,2,3,1,2,2,2,2,2,"Florida",0
"6745",120973,12,29945,28.52321111,-82.23653889,2,2,5,5,9,1,0,12,1,3,2,0,1,1,1,1,12,2,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6746",120976,12,28833,29.75946111,-82.14103889,2,2,6,5,7,2,0,12,0,1,1,0,1,1,1,1,12,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6747",120977,12,31737,25.76096389,-80.43043056,2,2,5,7,21,2,0,12,0,2,3,0,1,3,1,1,12,2,2,2,2,2,1,1,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6748",120978,12,30404,27.97337222,-82.32488333,1,1,5,7,4,9,0,8,0,1,1,0,1,2,1,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6749",120979,12,30117,28.30443611,-81.39151389,4,4,1,3,0,2,0,12,0,3,2,0,1,3,1,1,12,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6750",120980,12,29640,28.98858611,-80.91620833,2,2,2,1,18,9,0,12,0,2,2,0,1,3,1,1,12,3,3,2,2,2,1,2,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6751",120981,12,30624,27.74839722,-82.66852778,1,1,1,5,5,9,0,33,0,1,1,0,4,3,1,1,12,3,3,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,"Florida",1
"6752",120983,12,28482,29.98283056,-81.78583056,1,1,4,3,21,3,0,16,0,1,1,0,1,2,1,1,12,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,"Florida",0
"6753",120984,12,30918,26.94717222,-81.97693333,1,1,5,6,14,4,0,42,0,1,1,0,4,1,1,1,12,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,"Florida",1
"6754",120985,12,31547,25.95483889,-80.26203056,2,2,5,3,23,9,0,12,0,2,2,0,1,3,1,1,12,3,3,2,1,2,1,2,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6755",120986,12,30684,27.58720556,-80.42058889,1,1,6,2,8,9,0,15,0,1,1,0,1,1,1,1,12,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,"Florida",0
"6756",120987,12,31121,26.55653889,-81.87183889,6,6,5,7,22,2,0,12,0,2,2,0,1,3,1,1,12,2,2,2,2,3,1,2,2,2,2,1,1,1,2,2,2,2,"Florida",1
"6757",120988,12,30290,28.04500556,-81.92971667,2,2,5,7,16,9,0,12,0,1,1,0,1,1,1,1,12,3,3,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,"Florida",1
"6758",120989,12,31145,26.51294444,-81.79484722,2,2,5,6,19,1,0,1,0,1,1,0,4,1,10,1,12,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,"Florida",1
"6759",120990,12,30802,27.30786111,-81.32821944,1,1,5,6,16,6,0,8,0,1,1,0,2,1,1,1,12,3,3,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,"Florida",1
"6760",120991,12,30658,27.64515,-82.38646111,2,2,5,7,12,2,0,42,0,1,1,0,4,1,1,1,12,1,2,1,2,1,2,2,2,1,2,3,2,2,2,2,2,2,"Florida",0
"6761",120992,12,31553,25.9469,-80.14211667,2,2,5,7,18,9,0,8,0,1,1,0,4,1,10,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,1,1,2,2,"Florida",0
"6762",120993,12,27093,30.77329167,-86.59761944,2,2,5,7,2,4,0,59,0,1,1,0,4,2,1,1,12,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6763",120994,12,30639,27.718675,-80.44588611,1,1,5,7,6,9,0,30,0,1,1,0,4,4,10,1,12,3,3,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,"Florida",1
"6764",120995,12,31810,25.60959167,-80.36116944,2,2,5,7,16,9,0,12,0,2,3,0,1,1,1,1,12,3,3,1,2,2,1,2,2,2,2,3,1,2,2,2,2,2,"Florida",0
"6765",120996,12,28367,30.04958889,-82.63966111,1,1,5,1,18,9,0,38,0,1,1,0,4,1,2,1,12,3,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6766",120997,12,29111,29.60383889,-82.57831944,1,1,6,2,0,2,0,42,0,1,1,0,5,2,2,1,12,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6767",120998,12,28769,29.80181944,-82.16752222,4,4,6,2,10,2,0,12,0,1,1,0,1,1,1,1,12,1,2,1,1,2,2,2,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6768",120999,12,30379,27.99067778,-80.62518056,2,2,6,2,0,1,0,42,0,1,1,0,4,3,1,2,12,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,"Florida",1
"6769",121000,12,30867,27.13298056,-81.90245,3,3,6,4,14,2,0,12,1,2,3,0,1,1,1,2,12,1,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6770",121001,12,29493,29.23675833,-81.01303611,1,1,6,4,18,3,0,43,0,1,1,0,4,1,1,1,12,2,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6771",121002,12,27497,30.47751111,-84.32205556,2,2,6,6,21,8,0,42,0,1,1,0,4,3,1,1,12,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6772",121004,12,30438,27.95497778,-80.64898889,1,1,6,1,17,9,0,42,0,1,1,0,3,1,1,1,12,3,3,1,2,1,1,2,2,2,2,3,1,2,2,2,2,2,"Florida",0
"6773",121005,12,30809,27.29249444,-80.30560556,2,2,6,1,17,9,0,24,0,1,1,0,4,1,1,1,12,3,3,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6774",121006,12,31482,26.06107778,-80.41670833,1,1,5,1,22,9,0,1,0,1,1,0,1,3,1,1,12,3,3,2,2,1,2,2,2,1,2,3,2,2,2,2,2,2,"Florida",0
"6775",121007,12,30966,26.78351389,-80.06391111,2,2,2,1,8,3,0,5,0,3,2,0,1,1,1,1,12,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,1,2,"Florida",0
"6776",121008,12,31204,26.36167778,-80.08596389,2,2,5,5,8,3,0,12,0,2,2,0,1,1,1,1,12,2,2,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6777",121009,12,30014,28.43595833,-81.39364167,3,3,5,5,16,9,0,12,0,1,1,0,1,1,1,1,12,3,3,1,1,3,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6778",121010,12,30199,28.15433611,-82.69605833,1,1,5,7,2,9,0,1,0,1,1,0,1,3,1,1,12,3,3,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,"Florida",1
"6779",121011,12,29981,28.47258056,-81.39665,5,5,5,1,5,2,0,59,0,1,1,0,3,4,1,1,12,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6780",121012,12,28249,30.13176389,-82.63424444,1,1,6,2,20,9,0,32,0,1,1,0,4,2,10,1,12,3,3,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,"Florida",1
"6781",121013,12,27627,30.41633056,-87.24135,2,2,6,2,20,9,0,8,0,1,1,0,1,2,1,1,12,3,3,2,1,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6782",121014,12,28252,30.12916389,-85.50195278,2,2,6,4,3,9,0,53,0,1,1,0,5,2,10,2,12,3,3,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,"Florida",1
"6783",121015,12,27808,30.32978056,-81.71726111,1,1,6,5,21,9,0,18,1,3,2,0,4,3,1,1,12,3,3,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6784",121016,12,30632,27.73369722,-81.56866389,1,1,6,6,18,9,0,34,0,1,1,0,4,5,2,1,12,3,3,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,"Florida",0
"6785",121017,12,29635,28.99686389,-82.28176944,2,2,6,2,14,9,0,12,0,8,1,0,1,1,10,1,12,3,3,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,"Florida",0
"6786",121018,12,30758,27.42534444,-80.33708333,1,1,5,5,13,3,0,33,0,3,2,0,4,1,1,1,12,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6787",121019,12,30313,28.02901944,-82.35645556,3,3,6,2,17,9,0,12,0,2,3,0,1,1,1,1,12,3,3,1,1,3,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6788",121020,12,31736,25.76098611,-80.636925,3,3,6,5,5,2,0,24,0,1,1,0,4,2,10,3,12,1,2,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6789",121021,12,30031,28.39574722,-82.19539722,2,2,6,4,20,2,0,1,0,1,1,0,1,5,1,1,12,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6790",121022,12,29679,28.90049722,-82.43059444,1,1,6,4,1,6,0,8,0,1,1,0,1,2,2,1,12,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,"Florida",0
"6791",121024,12,31546,25.95519444,-80.29060278,1,1,6,1,18,9,0,43,0,1,1,0,4,1,1,1,12,3,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6792",121025,12,30589,27.79013333,-82.63853333,2,2,2,6,19,2,0,8,0,1,1,0,1,3,1,1,12,2,2,2,2,1,2,2,1,2,2,3,2,2,1,2,2,2,"Florida",0
"6793",121027,12,30647,27.69449444,-82.34136389,3,3,4,2,17,9,0,12,0,1,1,0,1,1,2,1,12,3,3,1,1,2,2,2,2,2,2,3,1,2,1,2,2,2,"Florida",0
"6794",121028,12,30226,28.11776111,-81.54887778,4,4,4,1,23,9,0,42,0,1,1,0,4,2,1,1,12,3,3,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6795",121029,12,31416,26.13699167,-80.14423056,1,1,4,3,18,9,0,9,0,1,1,0,1,1,10,1,12,3,3,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6796",121030,12,29895,28.564,-81.36046944,3,3,4,3,11,9,0,12,0,2,2,0,1,1,2,1,12,3,3,1,1,2,2,1,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6797",121031,12,30964,26.78995556,-80.05441667,1,1,5,6,18,2,0,1,0,2,3,0,1,1,10,1,12,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,"Florida",0
"6798",121032,12,31718,25.77897222,-80.25567222,4,4,5,4,19,9,0,12,0,2,2,0,1,1,1,1,12,3,3,2,1,3,1,1,2,2,2,3,1,2,2,2,2,2,"Florida",0
"6799",121033,12,31023,26.67704444,-80.08180278,1,1,5,4,18,9,0,52,0,3,2,0,4,1,1,1,12,3,3,2,1,1,2,2,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6800",121034,12,31235,26.31783056,-80.1424,1,1,5,3,0,3,0,42,0,1,1,0,3,3,1,1,12,2,2,2,1,1,2,1,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6801",121035,12,31333,26.19689722,-80.25204722,2,2,5,3,5,3,0,12,0,2,2,0,1,3,1,1,12,2,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6802",121036,12,27299,30.60440833,-81.58618056,2,2,5,2,16,9,0,12,0,8,1,0,1,1,1,1,12,3,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,"Florida",0
"6803",121037,12,31598,25.90411944,-80.21151667,1,1,5,3,22,9,0,8,0,3,2,0,1,3,1,1,12,3,3,2,1,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6804",121038,12,28358,30.05755,-81.70798889,3,3,5,6,12,2,0,12,0,2,3,0,1,1,1,1,12,2,2,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6805",121039,12,30948,26.81542778,-81.93739444,3,3,5,1,12,1,0,18,0,1,1,2,3,1,1,1,12,2,1,1,2,1,2,2,2,1,2,3,2,2,2,2,2,2,"Florida",0
"6806",121040,12,31163,26.46345833,-80.06910278,1,1,5,6,22,9,0,8,0,3,2,0,1,2,1,1,12,3,3,2,2,1,2,2,1,2,2,3,1,2,2,2,2,2,"Florida",0
"6807",121041,12,29869,28.59805278,-81.26493611,3,3,5,7,2,9,0,33,0,1,1,0,4,3,1,1,12,3,3,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,"Florida",1
"6808",121042,12,31691,25.80328889,-80.22128056,2,2,6,2,5,9,0,31,0,1,1,0,4,3,1,2,12,3,3,2,2,1,2,1,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6809",121043,12,30088,28.33233056,-81.55578611,1,1,6,3,18,2,0,42,0,1,1,0,4,1,2,1,12,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,"Florida",0
"6810",121044,12,30254,28.07886944,-80.73936111,5,5,6,3,4,2,0,1,0,1,1,0,3,2,1,1,12,1,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,"Florida",1
"6811",121045,12,31120,26.55761389,-81.83315833,1,1,6,5,22,9,0,1,0,1,1,0,3,2,1,1,12,3,3,2,1,1,2,2,2,1,2,3,1,2,2,2,1,2,"Florida",0
"6812",121046,12,29621,29.02456944,-81.12363056,2,2,6,6,19,3,0,1,0,1,1,0,4,1,1,1,12,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,"Florida",1
"6813",121047,12,27188,30.69091944,-86.06937222,3,3,6,6,13,1,0,42,0,1,1,0,4,1,1,1,12,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,"Florida",0
"6814",121048,12,30175,28.20141944,-82.24712778,1,1,6,6,15,9,0,32,0,1,1,0,4,1,10,1,12,3,3,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,"Florida",0
"6815",121049,12,27608,30.42793056,-87.26958056,12,12,6,7,15,9,0,12,0,1,1,0,1,1,1,1,12,3,3,1,2,2,2,2,2,2,2,3,2,1,1,2,2,2,"Florida",0
"6816",121050,12,27430,30.50848889,-87.22148889,1,1,6,7,0,9,0,8,0,1,1,0,1,2,1,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6817",121051,12,30983,26.72198889,-81.82068889,1,1,6,1,2,1,0,8,0,1,1,0,1,2,1,1,12,1,1,2,2,1,2,2,1,2,2,3,2,2,2,1,2,2,"Florida",0
"6818",121052,12,30778,27.37906944,-81.10371944,3,3,6,1,23,2,0,38,0,1,1,0,5,2,10,1,12,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,"Florida",0
"6819",121053,12,30208,28.14048611,-80.59857222,3,3,6,1,12,3,0,12,0,8,1,0,1,1,10,1,12,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,"Florida",1
"6820",121054,12,27248,30.63875833,-84.99300278,2,2,6,3,2,1,0,12,0,1,1,0,1,3,1,1,12,1,1,2,1,2,2,2,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6821",121055,12,30233,28.10603333,-80.57155556,5,5,6,4,16,3,0,12,0,2,3,0,1,1,2,2,12,2,2,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6822",121056,12,30144,28.26145556,-82.17568611,6,6,6,4,15,9,0,12,0,1,1,0,1,1,2,1,12,3,3,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,"Florida",1
"6823",121057,12,27709,30.37976944,-83.29828889,1,1,6,5,5,1,0,15,0,1,1,0,1,2,10,1,12,1,1,2,1,1,2,2,2,2,2,3,2,2,2,1,2,2,"Florida",0
"6824",121058,12,31700,25.79474167,-80.22302778,1,1,6,6,21,9,0,8,0,3,2,0,1,3,1,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6825",121060,12,31320,26.2084,-80.24018333,1,1,6,7,20,9,0,8,0,1,1,0,1,3,1,1,12,3,3,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6826",121061,12,29725,28.8401,-81.61313611,2,2,6,7,10,6,0,12,0,1,1,0,1,1,1,1,12,3,3,1,2,2,1,2,2,2,2,3,1,2,2,2,2,2,"Florida",0
"6827",121062,12,31743,25.74718333,-80.35223333,3,3,6,6,14,9,0,8,0,1,1,0,1,1,10,1,12,3,3,1,1,2,2,2,1,2,2,3,2,2,1,2,2,2,"Florida",0
"6828",121063,12,31573,25.93135833,-80.28121389,2,2,6,2,15,9,0,12,0,2,3,0,1,1,1,1,12,3,3,1,1,2,1,2,2,2,2,3,2,2,1,2,2,2,"Florida",0
"6829",121064,12,29505,29.21478333,-81.090825,1,1,6,3,10,9,0,34,0,1,1,0,4,1,1,1,12,3,3,1,1,1,2,2,2,2,2,3,2,1,2,2,2,2,"Florida",0
"6830",121065,12,30548,27.84623611,-82.30212222,2,2,6,6,15,9,0,12,0,2,3,0,1,1,1,1,12,3,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,"Florida",0
"6831",121066,12,29541,29.17327778,-81.04003611,1,1,2,2,6,3,0,8,0,1,1,0,1,2,1,1,12,2,2,1,1,1,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
"6832",121067,12,30780,27.37106667,-82.55301944,6,6,3,1,9,9,0,12,0,2,2,0,1,1,1,1,12,3,3,1,2,3,2,2,2,2,2,1,2,1,1,1,2,2,"Florida",1
"6833",121068,12,31123,26.55556389,-80.05490278,2,2,5,2,15,2,0,12,0,1,1,0,1,1,1,1,12,2,2,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,"Florida",0
