Country,Very important,Somewhat important, Not very important,Not at all important,DK/Refused,Total
United States,32,19,17,31,1,100
Canada,15,19,19,45,2,100
France,10,13,30,45,2,100
Germany,11,19,38,30,1,100
Greece,54,24,13,9,0,100
Hungary,29,37,22,11,1,100
Italy,30,36,20,11,2,100
Netherlands,8,16,24,52,1,100
Poland,34,37,19,9,1,100
Spain,9,10,21,57,2,100
Sweden,7,10,27,57,0,100
United Kingdom,18,19,24,38,1,100
Australia,13,16,23,48,1,100
