Country,Very important,Somewhat important, Not very important,Not at all important,DK/Refused,Total
United States,32,23,23,21,1,100
Canada,21,22,27,28,1,100
France,25,22,31,20,1,100
Germany,13,21,41,23,1,100
Greece,50,27,17,6,0,100
Hungary,52,29,12,5,1,100
Italy,42,37,16,5,1,100
Netherlands,16,26,30,27,1,100
Poland,42,38,16,3,1,100
Spain,34,24,23,19,1,100
Sweden,8,12,34,45,1,100
United Kingdom,32,24,24,18,1,100
Australia,13,18,30,39,0,100
Japan,50,27,14,8,1,100
