Country,Very important,Somewhat important, Not very important,Not at all important,DK/Refused,Total
United States,45,39,9,6,1,100
Canada,54,36,5,3,2,100
France,45,38,12,4,1,100
Germany,29,44,23,3,1,100
Greece,66,27,6,1,0,100
Hungary,68,26,5,1,0,100
Italy,50,38,8,2,1,100
Netherlands,37,46,11,5,0,100
Poland,56,39,4,0,1,100
Spain,44,33,15,7,2,100
Sweden,26,38,25,11,0,100
United Kingdom,54,33,7,5,1,100
Australia,50,39,7,4,1,100
Japan,43,47,8,1,0,100
