Country,Very important,Somewhat important, Not very important,Not at all important,DK/Refused,Total
United States,70,22,5,3,0,100
Canada,59,29,7,5,0,100
France,77,20,2,0,1,100
Germany,79,19,1,1,0,100
Greece,76,19,4,1,0,100
Hungary,81,15,3,1,1,100
Italy,59,35,4,1,0,100
Netherlands,84,14,1,0,1,100
Poland,67,29,3,0,0,100
Spain,62,32,4,2,1,100
Sweden,66,27,5,2,0,100
United Kingdom,81,17,2,1,0,100
Australia,69,25,4,2,0,100
Japan,70,22,5,2,1,100
